_id,rent_approval_date,town,block,street_name,flat_type,monthly_rent
1,2021-01,ANG MO KIO,105,ANG MO KIO AVE 4,4-ROOM,2000
2,2021-01,ANG MO KIO,107,ANG MO KIO AVE 4,3-ROOM,1750
3,2021-01,ANG MO KIO,108,ANG MO KIO AVE 4,3-ROOM,1750
4,2021-01,ANG MO KIO,111,ANG MO KIO AVE 4,5-ROOM,2230
5,2021-01,ANG MO KIO,111,ANG MO KIO AVE 4,5-ROOM,2450
6,2021-01,ANG MO KIO,114,ANG MO KIO AVE 4,3-ROOM,1950
7,2021-01,ANG MO KIO,114,ANG MO KIO AVE 4,3-ROOM,1400
8,2021-01,ANG MO KIO,117,ANG MO KIO AVE 4,3-ROOM,1600
9,2021-01,ANG MO KIO,118,ANG MO KIO AVE 4,4-ROOM,2000
10,2021-01,ANG MO KIO,119,ANG MO KIO AVE 3,3-ROOM,1600
11,2021-01,ANG MO KIO,119,ANG MO KIO AVE 3,3-ROOM,1800
12,2021-01,ANG MO KIO,120,ANG MO KIO AVE 3,3-ROOM,1800
13,2021-01,ANG MO KIO,121,ANG MO KIO AVE 3,3-ROOM,2000
14,2021-01,ANG MO KIO,121,ANG MO KIO AVE 3,4-ROOM,2200
15,2021-01,ANG MO KIO,121,ANG MO KIO AVE 3,3-ROOM,2050
16,2021-01,ANG MO KIO,122,ANG MO KIO AVE 3,3-ROOM,1750
17,2021-01,ANG MO KIO,127,ANG MO KIO AVE 3,3-ROOM,1950
18,2021-01,ANG MO KIO,127,ANG MO KIO AVE 3,3-ROOM,1750
19,2021-01,ANG MO KIO,128,ANG MO KIO AVE 3,3-ROOM,1800
20,2021-01,ANG MO KIO,134,ANG MO KIO AVE 3,4-ROOM,2400
21,2021-01,ANG MO KIO,134,ANG MO KIO AVE 3,4-ROOM,2500
22,2021-01,ANG MO KIO,154,ANG MO KIO AVE 5,3-ROOM,1600
23,2021-01,ANG MO KIO,163,ANG MO KIO AVE 4,3-ROOM,2000
24,2021-01,ANG MO KIO,172,ANG MO KIO AVE 4,2-ROOM,1500
